type,question,oracle_response
travel,"Why is the Eiffel Tower considered the symbol of Paris? How was it received when it was first built, and how did it become a beloved landmark? What activities can visitors do there today?","The Eiffel Tower was built in 1889 for the World’s Fair and was initially criticized. Over time, it became the symbol of Paris and French innovation. Visitors today can climb to observation decks, dine in its restaurants, and enjoy views of the city."
travel,"What makes the Grand Canyon one of the world’s natural wonders? How did the Colorado River shape it, and why do millions visit each year? What activities are popular among travelers?","The Grand Canyon was formed over millions of years by the erosion of the Colorado River. Its vast size and colorful layers of rock make it unique. Tourists visit for hiking, rafting, and breathtaking views."
travel,"Why is the Taj Mahal known as a monument of love? Who built it, and what story is behind its creation? What makes it one of the most visited sites in India?","The Taj Mahal was built by Mughal emperor Shah Jahan for his wife Mumtaz Mahal. It symbolizes eternal love and devotion. Today, it draws millions of visitors with its beauty and cultural significance."
travel,"What makes Santorini one of Greece’s most romantic islands? How did its volcanic history shape its landscape, and why are sunsets there world-famous? What do travelers enjoy most?","Santorini’s cliffs were formed by a volcanic eruption thousands of years ago. Its whitewashed houses and blue-domed churches create stunning views. Tourists enjoy watching sunsets from Oia, exploring villages, and tasting local wine."
travel,"Why is New York City called the city that never sleeps? What landmarks attract millions of tourists, and what unique culture does the city offer? How do travelers usually experience it?","New York City is famous for its nonstop energy, bright lights, and endless activities. Landmarks like the Statue of Liberty, Times Square, and Central Park attract visitors. Travelers often explore neighborhoods, enjoy Broadway shows, and sample diverse foods."
travel,"What makes Kyoto Japan’s cultural capital? How do ancient traditions coexist with modern life, and what attractions are most famous? Why do so many travelers return again and again?","Kyoto is home to hundreds of temples, shrines, and gardens. Traditional tea ceremonies and geisha culture thrive alongside modern conveniences. Tourists return for the city’s beauty, festivals, and sense of timelessness."
travel,"Why is Iceland called the land of fire and ice? What natural phenomena can travelers experience there, and what makes it a dream destination? How do seasons affect tourism?","Iceland has glaciers, volcanoes, geysers, and hot springs that make it unique. Visitors come for the northern lights in winter and the midnight sun in summer. Each season offers different adventures, from ice caves to hiking trails."
travel,"What makes Rome the Eternal City? How did it influence world history, and what monuments remain today? Why is it a favorite among tourists?","Rome was the center of the Roman Empire and shaped modern law, politics, and culture. Monuments like the Colosseum, Pantheon, and Roman Forum still stand. Tourists flock to experience its history, food, and atmosphere."
travel,"Why is the Great Barrier Reef so important to the planet? What kinds of marine life live there, and what threats does it face? How do travelers usually explore it?","The Great Barrier Reef is the largest coral reef system in the world. It is home to thousands of fish, corals, and marine species. Tourists explore it by snorkeling, diving, and boat tours, though climate change threatens its survival."
travel,"What makes London a top travel destination in Europe? How does its history mix with modern attractions, and what are the most popular landmarks? Why do millions visit each year?","London combines centuries of history with a vibrant modern culture. Iconic landmarks like Big Ben, Buckingham Palace, and the London Eye attract visitors. Tourists also enjoy theater, museums, and diverse neighborhoods."
travel,"Why is Dubai known for luxury and innovation? How did it transform from a desert town, and what attractions make it special? What makes it stand out among world cities?","Dubai grew rapidly thanks to oil wealth and visionary planning. It now boasts skyscrapers, artificial islands, and world-class shopping. Attractions like the Burj Khalifa, Palm Jumeirah, and desert safaris make it unique."
travel,"What makes Istanbul unique as a city on two continents? How does its culture reflect this position, and what are its most iconic sites? Why is it a bridge between East and West?","Istanbul lies on both Europe and Asia, divided by the Bosporus Strait. Its culture reflects a blend of traditions from both sides. Landmarks like Hagia Sophia, the Blue Mosque, and the Grand Bazaar highlight this mix."
travel,"Why is Niagara Falls one of the most visited waterfalls in the world? What makes its scale impressive, and how do tourists experience it? What activities are popular there?","Niagara Falls impresses with its massive water flow and thunderous sound. It straddles the U.S. and Canadian border. Visitors enjoy boat rides, observation decks, and light shows at night."
travel,"What makes the Amazon Rainforest vital to the Earth? What biodiversity does it hold, and what challenges threaten it? How do travelers explore it responsibly?","The Amazon produces much of the world’s oxygen and is called the lungs of the planet. It has thousands of plant and animal species found nowhere else. Responsible travelers explore it with eco-tours and guided treks."
travel,"Why is Sydney famous worldwide? What landmarks dominate its skyline, and what lifestyle appeals to tourists? How do visitors spend their time there?","Sydney is famous for its beaches and modern landmarks. The Sydney Opera House and Harbour Bridge define its skyline. Tourists enjoy surfing, ferry rides, and waterfront dining."
travel,"What makes Athens a cradle of Western civilization? What ideas were born there, and what ruins still exist? Why do historians and tourists love it?","Athens is where democracy, philosophy, and theater began. Ancient ruins like the Parthenon remain today. Both historians and travelers admire its influence on modern society."
travel,"Why is Barcelona popular with art and architecture lovers? What makes Antoni Gaudí’s works special, and what sites are must-sees? How do tourists enjoy the city?","Barcelona showcases Gothic and modernist architecture. Antoni Gaudí’s designs like Sagrada Família and Park Güell are colorful and unique. Tourists enjoy strolling La Rambla and relaxing on the city’s beaches."
type,question,oracle_response
literature,"Who wrote the epic poem The Odyssey?","Homer, the ancient Greek poet, is credited with writing The Odyssey."
literature,"Which play features the characters Rosencrantz and Guildenstern?","They appear in William Shakespeare's Hamlet."
literature,"Who is the author of Pride and Prejudice?","Jane Austen wrote Pride and Prejudice in 1813."
literature,"Which novel begins with the line 'Call me Ishmael'?","Moby-Dick by Herman Melville begins with that line."
literature,"Who created the detective Sherlock Holmes?","Sir Arthur Conan Doyle created Sherlock Holmes."
literature,"Which Russian novel features characters named Raskolnikov and Sonya?","Crime and Punishment by Fyodor Dostoevsky."
literature,"Who wrote the epic poem Paradise Lost?","John Milton wrote Paradise Lost in the 17th century."
literature,"Which author created Middle-earth in fantasy literature?","J.R.R. Tolkien created Middle-earth in works like The Lord of the Rings."
literature,"Who is the tragic king in Sophocles' Oedipus Rex?","King Oedipus is the tragic hero of Oedipus Rex."
literature,"Which American poet wrote The Raven?","Edgar Allan Poe wrote The Raven."
literature,"Who wrote One Hundred Years of Solitude?","Gabriel García Márquez wrote One Hundred Years of Solitude."
literature,"Which play ends with the words 'The rest is silence'?","Hamlet by William Shakespeare ends with that line."
literature,"Who is the author of Don Quixote?","Miguel de Cervantes wrote Don Quixote."
literature,"Which dystopian novel introduced Big Brother?","George Orwell's 1984 introduced Big Brother."
literature,"Who wrote the novel Frankenstein?","Mary Shelley wrote Frankenstein in 1818."
literature,"Which poet is known as the Bard of Avon?","William Shakespeare is often called the Bard of Avon."
literature,"Who wrote The Great Gatsby?","F. Scott Fitzgerald wrote The Great Gatsby."
literature,"Which novel is set on the fictional island of Lilliput?","Gulliver's Travels by Jonathan Swift."
literature,"Who wrote The Divine Comedy?","Dante Alighieri wrote The Divine Comedy."
literature,"Which American author wrote The Grapes of Wrath?","John Steinbeck wrote The Grapes of Wrath."
literature,"Who is the author of Wuthering Heights?","Emily Brontë wrote Wuthering Heights."
literature,"Which Shakespeare play features the line 'All the world’s a stage'?","As You Like It contains that line."
literature,"Who wrote War and Peace?","Leo Tolstoy wrote War and Peace."
literature,"Which novel begins with 'It was the best of times, it was the worst of times'?","A Tale of Two Cities by Charles Dickens."
literature,"Who created the character Huckleberry Finn?","Mark Twain created Huckleberry Finn."
literature,"Which English poet wrote the Sonnets from the Portuguese?","Elizabeth Barrett Browning wrote them."
literature,"Who wrote the play Waiting for Godot?","Samuel Beckett wrote Waiting for Godot."
literature,"Which French author wrote Les Misérables?","Victor Hugo wrote Les Misérables."
literature,"Who is the author of The Catcher in the Rye?","J.D. Salinger wrote The Catcher in the Rye."
literature,"Which playwright wrote Death of a Salesman?","Arthur Miller wrote Death of a Salesman."
literature,"Who created the character Jay Gatsby?","F. Scott Fitzgerald created Jay Gatsby."
literature,"Which novel features Atticus Finch?","To Kill a Mockingbird by Harper Lee."
literature,"Who wrote Brave New World?","Aldous Huxley wrote Brave New World."
literature,"Which poet wrote the Iliad?","Homer wrote the Iliad."
literature,"Who wrote Dracula?","Bram Stoker wrote Dracula."
literature,"Which Russian novel features Pierre Bezukhov?","War and Peace by Leo Tolstoy."
literature,"Who wrote The Canterbury Tales?","Geoffrey Chaucer wrote The Canterbury Tales."
literature,"Which Shakespeare play features Lady Macbeth?","Macbeth features Lady Macbeth."
literature,"Who is the author of Ulysses?","James Joyce wrote Ulysses."
literature,"Which American author wrote Leaves of Grass?","Walt Whitman wrote Leaves of Grass."
literature,"Who wrote The Picture of Dorian Gray?","Oscar Wilde wrote The Picture of Dorian Gray."
literature,"Which novel features the character Elizabeth Bennet?","Pride and Prejudice by Jane Austen."
literature,"Who wrote Anna Karenina?","Leo Tolstoy wrote Anna Karenina."
literature,"Which Greek tragedian wrote Medea?","Euripides wrote Medea."
literature,"Who wrote The Sound and the Fury?","William Faulkner wrote The Sound and the Fury."
literature,"Which English poet wrote Ode to a Nightingale?","John Keats wrote Ode to a Nightingale."
literature,"Who is the author of The Stranger?","Albert Camus wrote The Stranger."
literature,"Which American novel features Captain Ahab?","Moby-Dick by Herman Melville."
literature,"Who wrote The Brothers Karamazov?","Fyodor Dostoevsky wrote The Brothers Karamazov."
literature,"Which poet wrote The Waste Land?","T.S. Eliot wrote The Waste Land."
literature,"Who wrote The Old Man and the Sea?","Ernest Hemingway wrote The Old Man and the Sea."
literature,"Which French author created the Hunchback of Notre-Dame?","Victor Hugo created Quasimodo in The Hunchback of Notre-Dame."
literature,"Who wrote Slaughterhouse-Five?","Kurt Vonnegut wrote Slaughterhouse-Five."
literature,"Which Shakespeare comedy features Puck?","A Midsummer Night’s Dream features Puck."
literature,"Who wrote The Scarlet Letter?","Nathaniel Hawthorne wrote The Scarlet Letter."
literature,"Which English author created Oliver Twist?","Charles Dickens created Oliver Twist."
literature,"Who wrote Things Fall Apart?","Chinua Achebe wrote Things Fall Apart."
literature,"Which poet wrote Because I could not stop for Death?","Emily Dickinson wrote that poem."
literature,"Who wrote The Sun Also Rises?","Ernest Hemingway wrote The Sun Also Rises."
literature,"Which American novelist created Tom Sawyer?","Mark Twain created Tom Sawyer."
literature,"Who is the author of Beloved?","Toni Morrison wrote Beloved."
literature,"Which Irish poet wrote Sailing to Byzantium?","W.B. Yeats wrote Sailing to Byzantium."
literature,"Who wrote Catch-22?","Joseph Heller wrote Catch-22."
literature,"Which author created the Narnia series?","C.S. Lewis wrote The Chronicles of Narnia."
literature,"Who wrote Fahrenheit 451?","Ray Bradbury wrote Fahrenheit 451."
literature,"Which Shakespeare tragedy features King Lear?","King Lear is the central character."
literature,"Who wrote The Bell Jar?","Sylvia Plath wrote The Bell Jar."
literature,"Which novelist created Gregor Samsa?","Franz Kafka created him in The Metamorphosis."
literature,"Who wrote A Passage to India?","E.M. Forster wrote A Passage to India."
literature,"Which Russian author wrote The Idiot?","Fyodor Dostoevsky wrote The Idiot."
literature,"Who wrote A Room of One’s Own?","Virginia Woolf wrote A Room of One’s Own."
literature,"Which American writer created Holden Caulfield?","J.D. Salinger created Holden Caulfield."
literature,"Who wrote Heart of Darkness?","Joseph Conrad wrote Heart of Darkness."
literature,"Which playwright wrote The Importance of Being Earnest?","Oscar Wilde wrote The Importance of Being Earnest."
literature,"Who wrote Of Mice and Men?","John Steinbeck wrote Of Mice and Men."
literature,"Which poet wrote Ode on a Grecian Urn?","John Keats wrote Ode on a Grecian Urn."
literature,"Who wrote The Trial?","Franz Kafka wrote The Trial."
literature,"Which American poet wrote Song of Myself?","Walt Whitman wrote Song of Myself."
literature,"Who wrote Invisible Man?","Ralph Ellison wrote Invisible Man."
literature,"Which novel features Jay Gatsby?","The Great Gatsby by F. Scott Fitzgerald."
literature,"Who wrote David Copperfield?","Charles Dickens wrote David Copperfield."
literature,"Which play includes Prospero and Ariel?","The Tempest by William Shakespeare."
literature,"Who wrote Cry, the Beloved Country?","Alan Paton wrote Cry, the Beloved Country."
literature,"Which French writer created Jean Valjean?","Victor Hugo in Les Misérables."
literature,"Who wrote Blood Meridian?","Cormac McCarthy wrote Blood Meridian."
literature,"Which poet wrote Kubla Khan?","Samuel Taylor Coleridge wrote Kubla Khan."
literature,"Who wrote Middlemarch?","George Eliot wrote Middlemarch."
literature,"Which play features the line 'Et tu, Brute?'","Julius Caesar by William Shakespeare."
literature,"Who wrote Native Son?","Richard Wright wrote Native Son."
literature,"Which novelist created the character Ishmael?","Herman Melville in Moby-Dick."
literature,"Who wrote Mrs. Dalloway?","Virginia Woolf wrote Mrs. Dalloway."
literature,"Which poet wrote Howl?","Allen Ginsberg wrote Howl."
literature,"Who wrote The Road?","Cormac McCarthy wrote The Road."
literature,"Which novel features Winston Smith?","1984 by George Orwell."
literature,"Who wrote Great Expectations?","Charles Dickens wrote Great Expectations."
literature,"Which play features Iago as the villain?","Othello by William Shakespeare."
literature,"Who wrote Tess of the d’Urbervilles?","Thomas Hardy wrote Tess of the d’Urbervilles."
literature,"Which poet wrote The Second Coming?","W.B. Yeats wrote The Second Coming."
literature,"Who wrote The Handmaid’s Tale?","Margaret Atwood wrote The Handmaid’s Tale."
literature,"Which novel features Gregor Samsa’s transformation?","The Metamorphosis by Franz Kafka."
literature,"Who wrote Robinson Crusoe?","Daniel Defoe wrote Robinson Crusoe."
literature,"Which American poet wrote I Hear America Singing?","Walt Whitman wrote it."
literature,"Who wrote Their Eyes Were Watching God?","Zora Neale Hurston wrote Their Eyes Were Watching God."
literature,"Which English novelist wrote Jude the Obscure?","Thomas Hardy wrote Jude the Obscure."
literature,"Who wrote A Farewell to Arms?","Ernest Hemingway wrote A Farewell to Arms."
literature,"Which Russian author wrote Dead Souls?","Nikolai Gogol wrote Dead Souls."
literature,"Who wrote The Color Purple?","Alice Walker wrote The Color Purple."
literature,"Which playwright wrote A Streetcar Named Desire?","Tennessee Williams wrote A Streetcar Named Desire."
literature,"Who wrote The Call of the Wild?","Jack London wrote The Call of the Wild."
literature,"Which poet wrote The Tyger?","William Blake wrote The Tyger."
literature,"Who wrote Remembrance of Things Past?","Marcel Proust wrote it, also known as In Search of Lost Time."
literature,"Which American author wrote Uncle Tom’s Cabin?","Harriet Beecher Stowe wrote Uncle Tom’s Cabin."
literature,"Who wrote On the Road?","Jack Kerouac wrote On the Road."
literature,"Which English author wrote Far from the Madding Crowd?","Thomas Hardy wrote Far from the Madding Crowd."
literature,"Who wrote The Jungle?","Upton Sinclair wrote The Jungle."
literature,"Which poet wrote The Prelude?","William Wordsworth wrote The Prelude."
literature,"Who wrote Sons and Lovers?","D.H. Lawrence wrote Sons and Lovers."
literature,"Which play features the character Viola?","Twelfth Night by William Shakespeare."
literature,"Who wrote Lolita?","Vladimir Nabokov wrote Lolita."
literature,"Which author wrote The Adventures of Sherlock Holmes?","Sir Arthur Conan Doyle wrote it."
literature,"Who wrote Eugene Onegin?","Alexander Pushkin wrote Eugene Onegin."
literature,"Which novel features Pip as protagonist?","Great Expectations by Charles Dickens."
literature,"Who wrote The House of Mirth?","Edith Wharton wrote The House of Mirth."
literature,"Which novelist created Leopold Bloom?","James Joyce in Ulysses."
literature,"Who wrote The Maltese Falcon?","Dashiell Hammett wrote The Maltese Falcon."
literature,"Which poet wrote To Autumn?","John Keats wrote To Autumn."
literature,"Who wrote The Turn of the Screw?","Henry James wrote The Turn of the Screw."
literature,"Which American author wrote The Red Badge of Courage?","Stephen Crane wrote The Red Badge of Courage."
literature,"Who wrote Ceremony?","Leslie Marmon Silko wrote Ceremony."
literature,"Which play includes Shylock the moneylender?","The Merchant of Venice by William Shakespeare."
literature,"Who wrote Go Tell It on the Mountain?","James Baldwin wrote Go Tell It on the Mountain."
literature,"Which poet wrote Ozymandias?","Percy Bysshe Shelley wrote Ozymandias."
literature,"Who wrote Kim?","Rudyard Kipling wrote Kim."
literature,"Which novel features Clarissa Dalloway?","Mrs. Dalloway by Virginia Woolf."
literature,"Who wrote The Age of Innocence?","Edith Wharton wrote The Age of Innocence."
literature,"Which play ends with the lovers Pyramus and Thisbe?","A Midsummer Night’s Dream includes that play-within-a-play."
literature,"Who wrote The Magic Mountain?","Thomas Mann wrote The Magic Mountain."
literature,"Which poet wrote Dover Beach?","Matthew Arnold wrote Dover Beach."
literature,"Who wrote Herzog?","Saul Bellow wrote Herzog."
literature,"Which American author wrote The Naked and the Dead?","Norman Mailer wrote it."
literature,"Who wrote No Exit?","Jean-Paul Sartre wrote No Exit."
literature,"Which novelist created Heathcliff?","Emily Brontë created Heathcliff in Wuthering Heights."
literature,"Who wrote The Blind Assassin?","Margaret Atwood wrote The Blind Assassin."
literature,"Which poet wrote Annabel Lee?","Edgar Allan Poe wrote Annabel Lee."
literature,"Who wrote The Golden Notebook?","Doris Lessing wrote The Golden Notebook."
literature,"Which novelist created Holden Caulfield?","J.D. Salinger in The Catcher in the Rye."
literature,"Who wrote The Trial and Death of Socrates?","Plato wrote accounts including the Apology."
literature,"Which poet wrote Ode to the West Wind?","Percy Bysshe Shelley wrote it."
literature,"Who wrote Black Boy?","Richard Wright wrote Black Boy."
literature,"Which novelist wrote Cry, the Peacock?","Anita Desai wrote Cry, the Peacock."
literature,"Who wrote Gravity’s Rainbow?","Thomas Pynchon wrote Gravity’s Rainbow."
literature,"Which author created Hercule Poirot?","Agatha Christie created Hercule Poirot."
literature,"Who wrote The White Tiger?","Aravind Adiga wrote The White Tiger."
literature,"Which poet wrote Stopping by Woods on a Snowy Evening?","Robert Frost wrote it."
literature,"Who wrote The Alchemist?","Paulo Coelho wrote The Alchemist."
literature,"Which play features Falstaff?","Henry IV by William Shakespeare features Falstaff."
literature,"Who wrote Cry, the Peacock?","Anita Desai wrote it."
literature,"Which Russian author wrote Fathers and Sons?","Ivan Turgenev wrote Fathers and Sons."
literature,"Who wrote The Remains of the Day?","Kazuo Ishiguro wrote The Remains of the Day."
literature,"Which poet wrote The Love Song of J. Alfred Prufrock?","T.S. Eliot wrote it."
literature,"Who wrote A Clockwork Orange?","Anthony Burgess wrote A Clockwork Orange."
literature,"Which English novelist wrote The Mayor of Casterbridge?","Thomas Hardy wrote The Mayor of Casterbridge."
literature,"Who wrote The Name of the Rose?","Umberto Eco wrote The Name of the Rose."
literature,"Which play features Viola disguised as Cesario?","Twelfth Night by Shakespeare."
literature,"Who wrote The Hobbit?","J.R.R. Tolkien wrote The Hobbit."
literature,"Which poet wrote Fern Hill?","Dylan Thomas wrote Fern Hill."
literature,"Who wrote White Noise?","Don DeLillo wrote White Noise."
literature,"Which novel features Celie as the main character?","The Color Purple by Alice Walker."
literature,"Who wrote Death in Venice?","Thomas Mann wrote Death in Venice."
literature,"Which American poet wrote Harlem?","Langston Hughes wrote Harlem."
literature,"Who wrote Siddhartha?","Hermann Hesse wrote Siddhartha."
literature,"Which novelist wrote Nostromo?","Joseph Conrad wrote Nostromo."
literature,"Who wrote Love in the Time of Cholera?","Gabriel García Márquez wrote it."
literature,"Which play features the witches’ prophecy?","Macbeth by William Shakespeare."
literature,"Who wrote If Beale Street Could Talk?","James Baldwin wrote If Beale Street Could Talk."
literature,"Which poet wrote The Rime of the Ancient Mariner?","Samuel Taylor Coleridge wrote it."
literature,"Who wrote Women in Love?","D.H. Lawrence wrote Women in Love."
literature,"Which novelist wrote The Trial?","Franz Kafka wrote The Trial."
literature,"Who wrote Persepolis?","Marjane Satrapi wrote Persepolis."
literature,"Which author created Miss Marple?","Agatha Christie created Miss Marple."
literature,"Who wrote The Prince and the Pauper?","Mark Twain wrote The Prince and the Pauper."
literature,"Which poet wrote The Hollow Men?","T.S. Eliot wrote The Hollow Men."
literature,"Who wrote The God of Small Things?","Arundhati Roy wrote The God of Small Things."
literature,"Which Russian novelist wrote The Seagull?","Anton Chekhov wrote The Seagull."
literature,"Who wrote The Bluest Eye?","Toni Morrison wrote The Bluest Eye."
literature,"Which poet wrote My Last Duchess?","Robert Browning wrote My Last Duchess."
literature,"Who wrote Lord of the Flies?","William Golding wrote Lord of the Flies."
literature,"Which play features Blanche DuBois?","A Streetcar Named Desire by Tennessee Williams."
literature,"Who wrote The Outsiders?","S.E. Hinton wrote The Outsiders."
literature,"Which poet wrote She Walks in Beauty?","Lord Byron wrote She Walks in Beauty."
literature,"Who wrote The Poisonwood Bible?","Barbara Kingsolver wrote The Poisonwood Bible."
literature,"Which novelist created the character Meursault?","Albert Camus created Meursault in The Stranger."
literature,"Who wrote The Call of Cthulhu?","H.P. Lovecraft wrote The Call of Cthulhu."
literature,"Who wrote The Wind in the Willows?","Kenneth Grahame wrote The Wind in the Willows."
literature,"Which novelist created the character Tom Ripley?","Patricia Highsmith created Tom Ripley."
literature,"Who wrote The Secret Garden?","Frances Hodgson Burnett wrote The Secret Garden."
literature,"Which poet wrote The Charge of the Light Brigade?","Alfred, Lord Tennyson wrote The Charge of the Light Brigade."
literature,"Who wrote The Little Prince?","Antoine de Saint-Exupéry wrote The Little Prince."
literature,"Which playwright wrote The Glass Menagerie?","Tennessee Williams wrote The Glass Menagerie."
literature,"Who wrote The Tale of Genji?","Murasaki Shikibu wrote The Tale of Genji."
literature,"Which poet wrote To His Coy Mistress?","Andrew Marvell wrote To His Coy Mistress."
type,question,oracle_response
literature,"Who wrote the play about two young lovers from feuding families? The story ends with their tragic deaths in Verona.","William Shakespeare wrote Romeo and Juliet."
literature,"Which novel tells of a captain’s obsession with a whale? The narrator begins the story by saying, 'Call me Ishmael.'","Herman Melville wrote Moby-Dick."
literature,"Who created the detective famous for his sharp deductions? He lived at 221B Baker Street with Dr. Watson.","Sir Arthur Conan Doyle created Sherlock Holmes."
literature,"Which book features Elizabeth Bennet navigating love and society? Her relationship with Mr. Darcy is central to the story.","Jane Austen wrote Pride and Prejudice."
literature,"Who imagined a future where Big Brother watches everyone? The protagonist Winston Smith secretly rebels.","George Orwell wrote 1984."
literature,"Which novel features a scientist who creates life from corpses? The creature he makes becomes a source of horror and sorrow.","Mary Shelley wrote Frankenstein."
literature,"Who is called the Bard of Avon? He wrote tragedies, comedies, and histories still performed today.","William Shakespeare is the Bard of Avon."
literature,"Which story follows a boy growing up along the Mississippi River? He runs away with a runaway slave named Jim.","Mark Twain wrote Adventures of Huckleberry Finn."
literature,"Who wrote the great Russian novel about war and peace? It features characters like Pierre Bezukhov and Natasha Rostov.","Leo Tolstoy wrote War and Peace."
literature,"Which book starts with 'It was the best of times, it was the worst of times'? The story is set during the French Revolution.","Charles Dickens wrote A Tale of Two Cities."
literature,"Who created the world of Middle-earth with hobbits and elves? His epic trilogy is beloved by fantasy readers.","J.R.R. Tolkien wrote The Lord of the Rings."
literature,"Which play features a tragic king who unknowingly marries his mother? The truth is revealed through a prophecy and investigation.","Sophocles wrote Oedipus Rex."
literature,"Who wrote the poem about a bird repeating the word 'Nevermore'? It remains one of the most famous gothic poems.","Edgar Allan Poe wrote The Raven."
literature,"Which novel tells of the Buendía family across generations? It blends magical realism with Colombian history.","Gabriel García Márquez wrote One Hundred Years of Solitude."
literature,"Who created the miser Ebenezer Scrooge? The story shows his transformation one Christmas Eve.","Charles Dickens wrote A Christmas Carol."
literature,"Which play contains the famous line 'The rest is silence'? It comes at the very end of the tragedy.","William Shakespeare wrote Hamlet."
literature,"Who wrote the novel about the knight who tilts at windmills? His loyal companion is Sancho Panza.","Miguel de Cervantes wrote Don Quixote."
literature,"Which dystopian novel imagines a society controlled by conditioning and drugs? People sacrifice individuality for stability.","Aldous Huxley wrote Brave New World."
literature,"Who wrote the epic poem about Satan’s fall and humankind’s loss of Eden? It remains a cornerstone of English literature.","John Milton wrote Paradise Lost."
literature,"Which American novel follows the Joad family during the Dust Bowl? It portrays their migration westward.","John Steinbeck wrote The Grapes of Wrath."
literature,"Who wrote the gothic novel about Catherine and Heathcliff? It is set on the Yorkshire moors.","Emily Brontë wrote Wuthering Heights."
literature,"Which play contains the line 'All the world’s a stage'? A character compares life to a performance.","William Shakespeare wrote As You Like It."
literature,"Who wrote the novel about Anna’s doomed love affair? It ends in tragedy on a railway track.","Leo Tolstoy wrote Anna Karenina."
literature,"Which writer created the poem 'Ode to a Nightingale'? It is one of the greatest Romantic odes.","John Keats wrote Ode to a Nightingale."
literature,"Who wrote the play where characters wait endlessly for someone? The figure they await never arrives.","Samuel Beckett wrote Waiting for Godot."
literature,"Which French novel follows the struggles of Jean Valjean? It includes the student uprising in Paris.","Victor Hugo wrote Les Misérables."
literature,"Who wrote the novel about Holden Caulfield? The story captures teenage angst and alienation.","J.D. Salinger wrote The Catcher in the Rye."
literature,"Which play portrays the downfall of Willy Loman? It critiques the American dream.","Arthur Miller wrote Death of a Salesman."
literature,"Who wrote the novel about Atticus Finch defending a black man in court? His daughter Scout narrates the tale.","Harper Lee wrote To Kill a Mockingbird."
literature,"Which poet wrote the epic about the wrath of Achilles? It is one of the oldest works of Western literature.","Homer wrote the Iliad."
literature,"Who wrote the gothic story about a vampire in Transylvania? The novel helped define the vampire genre.","Bram Stoker wrote Dracula."
literature,"Which Russian novel examines the crime of Raskolnikov? It explores guilt, morality, and redemption.","Fyodor Dostoevsky wrote Crime and Punishment."
literature,"Who wrote the collection of tales told by pilgrims? The characters share their stories on the road to Canterbury.","Geoffrey Chaucer wrote The Canterbury Tales."
literature,"Which Shakespeare play features Lady Macbeth urging her husband to murder? It ends with madness and bloodshed.","William Shakespeare wrote Macbeth."
literature,"Who wrote the experimental novel set in Dublin over a single day? Its hero is Leopold Bloom.","James Joyce wrote Ulysses."
literature,"Which poet wrote the American classic Leaves of Grass? It celebrates democracy, nature, and the self.","Walt Whitman wrote Leaves of Grass."
literature,"Who wrote the story of a young man who never ages while his portrait does? It explores vanity and morality.","Oscar Wilde wrote The Picture of Dorian Gray."
literature,"Which novel features Elizabeth Bennet’s wit and independence? She ultimately overcomes prejudice in love.","Jane Austen wrote Pride and Prejudice."
literature,"Who wrote the Southern novel about the decline of the Compson family? It uses shifting narrators and stream of consciousness.","William Faulkner wrote The Sound and the Fury."
literature,"Which Russian novel features three brothers and questions of faith? It is the author’s last major work.","Fyodor Dostoevsky wrote The Brothers Karamazov."
literature,"Who wrote the modernist poem The Waste Land? It is filled with fragments and literary allusions.","T.S. Eliot wrote The Waste Land."
literature,"Which novella follows an old fisherman battling a giant marlin? It won its author the Nobel Prize.","Ernest Hemingway wrote The Old Man and the Sea."
literature,"Who created the character Quasimodo in a cathedral setting? The novel mixes romance and social criticism.","Victor Hugo wrote The Hunchback of Notre-Dame."
literature,"Which novel tells of Billy Pilgrim becoming 'unstuck in time'? It blends satire with reflections on war.","Kurt Vonnegut wrote Slaughterhouse-Five."
literature,"Who wrote the American novel about the letter 'A' on a woman’s dress? It is a story of sin and redemption.","Nathaniel Hawthorne wrote The Scarlet Letter."
literature,"Which Shakespeare comedy features a mischievous fairy named Puck? It also has lovers lost in a forest.","William Shakespeare wrote A Midsummer Night’s Dream."
literature,"Who wrote the Nigerian novel about Okonkwo? It examines tradition and colonial disruption.","Chinua Achebe wrote Things Fall Apart."
literature,"Which poet wrote haunting verses about death and eternity? She lived reclusively in Amherst, Massachusetts.","Emily Dickinson wrote Because I could not stop for Death."
literature,"Who wrote the war novel about Henry Fleming? It depicts the fear and courage of a young Union soldier.","Stephen Crane wrote The Red Badge of Courage."
literature,"Which poet wrote about death in a pastoral landscape? The poem famously begins 'Whose woods these are I think I know.'","Robert Frost wrote Stopping by Woods on a Snowy Evening."
literature,"Who wrote the Southern novel about Sethe, a woman haunted by her past? It won the Pulitzer Prize for Fiction.","Toni Morrison wrote Beloved."
literature,"Which Irish poet wrote about Byzantium and the soul? His works are central to 20th-century poetry.","W.B. Yeats wrote Sailing to Byzantium."
literature,"Who wrote the satirical war novel about Yossarian? It gave English the term 'catch-22.'","Joseph Heller wrote Catch-22."
literature,"Which children’s fantasy series begins with a wardrobe? It takes readers into the land of Narnia.","C.S. Lewis wrote The Chronicles of Narnia."
literature,"Who wrote the dystopian story where books are burned? A fireman becomes a rebel by saving one.","Ray Bradbury wrote Fahrenheit 451."
literature,"Which Shakespeare tragedy tells of an aging king and his daughters? Betrayal leads to his madness and death.","William Shakespeare wrote King Lear."
literature,"Who wrote the semi-autobiographical novel about Esther Greenwood? It explores mental illness and gender roles.","Sylvia Plath wrote The Bell Jar."
